Age_Group,State,Year,deaths,population
25-34,North Dakota,2003,61,72926
25-34,North Dakota,2004,74,74007
25-34,North Dakota,2005,84,74290
25-34,North Dakota,2006,68,75538
25-34,North Dakota,2007,87,79816
25-34,North Dakota,2008,75,82659
25-34,North Dakota,2009,103,87228
25-34,North Dakota,2010,82,90485
25-34,North Dakota,2011,91,94343
25-34,North Dakota,2012,111,98947
25-34,North Dakota,2013,109,103916
25-34,North Dakota,2014,116,107968
25-34,North Dakota,2015,154,112922
25-34,North Dakota,2016,135,113553
25-34,North Dakota,2017,173,114253
25-34,North Dakota,2018,144,114800
25-34,Ohio,1999,1476,1539657
25-34,Ohio,2000,1400,1519894
25-34,Ohio,2001,1470,1481232
25-34,Ohio,2002,1491,1463095
25-34,Ohio,2003,1465,1453156
25-34,Ohio,2004,1451,1444523
25-34,Ohio,2005,1548,1435215
25-34,Ohio,2006,1550,1420465
25-34,Ohio,2007,1598,1414429
25-34,Ohio,2008,1566,1411990
25-34,Ohio,2009,1655,1410648
25-34,Ohio,2010,1622,1409959
25-34,Ohio,2011,1708,1425846
25-34,Ohio,2012,1775,1434514
25-34,Ohio,2013,1835,1452141
25-34,Ohio,2014,1998,1470692
25-34,Ohio,2015,2313,1486970
25-34,Ohio,2016,2701,1506910
25-34,Ohio,2017,2998,1523761
25-34,Ohio,2018,2613,1545280
25-34,Oklahoma,1999,598,452644
25-34,Oklahoma,2000,545,451647
25-34,Oklahoma,2001,551,445894
25-34,Oklahoma,2002,561,447621
25-34,Oklahoma,2003,630,447100
25-34,Oklahoma,2004,591,450653
25-34,Oklahoma,2005,606,454892
25-34,Oklahoma,2006,690,463304
25-34,Oklahoma,2007,703,474358
25-34,Oklahoma,2008,746,484333
25-34,Oklahoma,2009,701,498218
25-34,Oklahoma,2010,754,506755
25-34,Oklahoma,2011,760,515703
25-34,Oklahoma,2012,807,520896
25-34,Oklahoma,2013,754,527072
25-34,Oklahoma,2014,742,533110
25-34,Oklahoma,2015,834,540239
25-34,Oklahoma,2016,864,545460
25-34,Oklahoma,2017,851,545596
25-34,Oklahoma,2018,808,543218
25-34,Oregon,1999,424,466884
25-34,Oregon,2000,387,470695
25-34,Oregon,2001,431,472656
25-34,Oregon,2002,443,478282
25-34,Oregon,2003,413,481061
25-34,Oregon,2004,393,479431
25-34,Oregon,2005,452,481819
25-34,Oregon,2006,438,488957
25-34,Oregon,2007,446,499535
25-34,Oregon,2008,419,509820
25-34,Oregon,2009,449,520329
25-34,Oregon,2010,409,524144
25-34,Oregon,2011,463,530505
25-34,Oregon,2012,481,533081
25-34,Oregon,2013,468,535780
25-34,Oregon,2014,493,544037
25-34,Oregon,2015,510,556974
25-34,Oregon,2016,551,574842
25-34,Oregon,2017,552,587032
25-34,Oregon,2018,593,596485
25-34,Pennsylvania,1999,1662,1589669
25-34,Pennsylvania,2000,1659,1560486
25-34,Pennsylvania,2001,1555,1514109
25-34,Pennsylvania,2002,1630,1493954
25-34,Pennsylvania,2003,1569,1485351
25-34,Pennsylvania,2004,1577,1476744
25-34,Pennsylvania,2005,1657,1468043
25-34,Pennsylvania,2006,1765,1460972
25-34,Pennsylvania,2007,1677,1464778
25-34,Pennsylvania,2008,1680,1480932
25-34,Pennsylvania,2009,1730,1498783
25-34,Pennsylvania,2010,1653,1511119
25-34,Pennsylvania,2011,1949,1547015
25-34,Pennsylvania,2012,1941,1576531
25-34,Pennsylvania,2013,1914,1611833
25-34,Pennsylvania,2014,1973,1640158
25-34,Pennsylvania,2015,2349,1663067
25-34,Pennsylvania,2016,2830,1677711
25-34,Pennsylvania,2017,3076,1688589
25-34,Pennsylvania,2018,2823,1701106
25-34,Rhode Island,1999,104,143663
25-34,Rhode Island,2000,98,140326
25-34,Rhode Island,2001,125,137032
25-34,Rhode Island,2002,107,136219
25-34,Rhode Island,2003,154,136066
25-34,Rhode Island,2004,97,135243
25-34,Rhode Island,2005,82,131683
25-34,Rhode Island,2006,100,128875
25-34,Rhode Island,2007,104,126899
25-34,Rhode Island,2008,105,127188
25-34,Rhode Island,2009,99,126651
25-34,Rhode Island,2010,111,126962
25-34,Rhode Island,2011,118,128813
25-34,Rhode Island,2012,118,131184
25-34,Rhode Island,2013,122,135303
25-34,Rhode Island,2014,142,138771
25-34,Rhode Island,2015,173,141516
25-34,Rhode Island,2016,165,143107
25-34,Rhode Island,2017,170,145146
25-34,Rhode Island,2018,143,146231
25-34,South Carolina,1999,730,564772
25-34,South Carolina,2000,771,560831
25-34,South Carolina,2001,818,551336
25-34,South Carolina,2002,798,551869
25-34,South Carolina,2003,761,552295
25-34,South Carolina,2004,795,556293
25-34,South Carolina,2005,836,558436
25-34,South Carolina,2006,833,564942
25-34,South Carolina,2007,820,570513
25-34,South Carolina,2008,779,580589
25-34,South Carolina,2009,777,586880
25-34,South Carolina,2010,799,592056
25-34,South Carolina,2011,822,601481
25-34,South Carolina,2012,803,607408
25-34,South Carolina,2013,775,614216
25-34,South Carolina,2014,853,628071
25-34,South Carolina,2015,1023,641465
25-34,South Carolina,2016,1036,655031
25-34,South Carolina,2017,1114,665507
25-34,South Carolina,2018,1159,673890
25-34,South Dakota,1999,99,90922
25-34,South Dakota,2000,102,91013
25-34,South Dakota,2001,94,89533
25-34,South Dakota,2002,105,89484
25-34,South Dakota,2003,107,89487
25-34,South Dakota,2004,106,90470
25-34,South Dakota,2005,106,91804
25-34,South Dakota,2006,103,92913
25-34,South Dakota,2007,97,96924
25-34,South Dakota,2008,100,99505
25-34,South Dakota,2009,107,103198
25-34,South Dakota,2010,121,105429
25-34,South Dakota,2011,116,108236
25-34,South Dakota,2012,125,110272
25-34,South Dakota,2013,105,111514
25-34,South Dakota,2014,126,111934
25-34,South Dakota,2015,137,112092
25-34,South Dakota,2016,145,112266
25-34,South Dakota,2017,159,113605
25-34,South Dakota,2018,170,116095
25-34,Tennessee,1999,1064,820333
25-34,Tennessee,2000,1118,815901
25-34,Tennessee,2001,1078,800705
25-34,Tennessee,2002,1151,795801
25-34,Tennessee,2003,1134,794674
25-34,Tennessee,2004,1133,800018
25-34,Tennessee,2005,1154,803720
25-34,Tennessee,2006,1145,809202
25-34,Tennessee,2007,1150,815044
25-34,Tennessee,2008,1140,816265
25-34,Tennessee,2009,1154,821861
25-34,Tennessee,2010,1197,823997
25-34,Tennessee,2011,1181,835370
25-34,Tennessee,2012,1152,844066
25-34,Tennessee,2013,1132,846372
25-34,Tennessee,2014,1213,858325
25-34,Tennessee,2015,1295,872233
25-34,Tennessee,2016,1456,892054
25-34,Tennessee,2017,1536,915996
25-34,Tennessee,2018,1661,931067
25-34,Texas,1999,3123,3141887
25-34,Texas,2000,3344,3162083
25-34,Texas,2001,3310,3186416
25-34,Texas,2002,3325,3219648
25-34,Texas,2003,3394,3234855
25-34,Texas,2004,3453,3263123
25-34,Texas,2005,3428,3297694
25-34,Texas,2006,3555,3361877
25-34,Texas,2007,3614,3425969
25-34,Texas,2008,3700,3495902
25-34,Texas,2009,3749,3566069
25-34,Texas,2010,3583,3613473
25-34,Texas,2011,3667,3694865
25-34,Texas,2012,3765,3764291
25-34,Texas,2013,3889,3831647
25-34,Texas,2014,4049,3925657
25-34,Texas,2015,4279,4012159
25-34,Texas,2016,4405,4085728
25-34,Texas,2017,4608,4162040
25-34,Texas,2018,4500,4236328
25-34,Utah,1999,311,321528
25-34,Utah,2000,288,327064
25-34,Utah,2001,324,333952
25-34,Utah,2002,323,343699
25-34,Utah,2003,365,354519
25-34,Utah,2004,399,367784
25-34,Utah,2005,374,379940
25-34,Utah,2006,419,395758
25-34,Utah,2007,433,414291
25-34,Utah,2008,435,429369
25-34,Utah,2009,440,440646
25-34,Utah,2010,469,445687
25-34,Utah,2011,438,446606
25-34,Utah,2012,467,445048
25-34,Utah,2013,511,440736
25-34,Utah,2014,460,440622
25-34,Utah,2015,518,441518
25-34,Utah,2016,569,448845
25-34,Utah,2017,547,457423
25-34,Utah,2018,524,464908
25-34,Vermont,1999,66,76006
25-34,Vermont,2000,58,74567
25-34,Vermont,2001,66,72130
25-34,Vermont,2002,55,71165
25-34,Vermont,2003,56,69883
25-34,Vermont,2004,68,68536
25-34,Vermont,2005,69,67389
25-34,Vermont,2006,63,66702
25-34,Vermont,2007,63,66782
25-34,Vermont,2008,60,67742
25-34,Vermont,2009,51,68872
25-34,Vermont,2010,60,69622
25-34,Vermont,2011,65,70533
25-34,Vermont,2012,69,71061
25-34,Vermont,2013,60,71906
25-34,Vermont,2014,84,71786
25-34,Vermont,2015,78,71668
25-34,Vermont,2016,113,72709
25-34,Vermont,2017,100,72980
25-34,Vermont,2018,125,74091
25-34,Virginia,1999,969,1048435
25-34,Virginia,2000,967,1036965
25-34,Virginia,2001,945,1025675
25-34,Virginia,2002,955,1018606
25-34,Virginia,2003,995,1014083
25-34,Virginia,2004,958,1016307
25-34,Virginia,2005,965,1019070
25-34,Virginia,2006,913,1023967
25-34,Virginia,2007,1026,1032580
25-34,Virginia,2008,937,1051186
25-34,Virginia,2009,901,1072354
25-34,Virginia,2010,948,1090419
25-34,Virginia,2011,1000,1119591
25-34,Virginia,2012,986,1143271
25-34,Virginia,2013,1076,1160793
25-34,Virginia,2014,1070,1175262
25-34,Virginia,2015,1194,1183685
25-34,Virginia,2016,1344,1172060
25-34,Virginia,2017,1361,1185270
25-34,Virginia,2018,1348,1190306
25-34,Washington,1999,707,841923
25-34,Washington,2000,684,841130
25-34,Washington,2001,654,837266
25-34,Washington,2002,726,837613
25-34,Washington,2003,682,833614
25-34,Washington,2004,661,835461
25-34,Washington,2005,751,838721
25-34,Washington,2006,701,855936
25-34,Washington,2007,772,872237
25-34,Washington,2008,736,899021
25-34,Washington,2009,751,923298
25-34,Washington,2010,752,933781
25-34,Washington,2011,775,962195
25-34,Washington,2012,813,975860
25-34,Washington,2013,839,995914
25-34,Washington,2014,902,1021309
25-34,Washington,2015,972,1052907
25-34,Washington,2016,961,1081072
25-34,Washington,2017,1073,1117379
25-34,Washington,2018,1094,1153357
25-34,West Virginia,1999,278,229369
25-34,West Virginia,2000,257,229094
25-34,West Virginia,2001,284,222472
25-34,West Virginia,2002,300,221919
25-34,West Virginia,2003,316,222377
25-34,West Virginia,2004,322,221856
25-34,West Virginia,2005,319,222650
25-34,West Virginia,2006,392,221677
25-34,West Virginia,2007,420,220852
25-34,West Virginia,2008,358,220531
25-34,West Virginia,2009,393,221136
25-34,West Virginia,2010,369,220698
25-34,West Virginia,2011,429,220823
25-34,West Virginia,2012,443,220220
25-34,West Virginia,2013,425,219405
25-34,West Virginia,2014,388,218869
25-34,West Virginia,2015,417,218551
25-34,West Virginia,2016,481,219000
25-34,West Virginia,2017,539,216070
25-34,West Virginia,2018,510,215362
25-34,Wisconsin,1999,574,713340
25-34,Wisconsin,2000,567,706168
25-34,Wisconsin,2001,544,692200
25-34,Wisconsin,2002,612,685540
25-34,Wisconsin,2003,607,681594
25-34,Wisconsin,2004,582,679665
25-34,Wisconsin,2005,640,678197
25-34,Wisconsin,2006,597,678122
25-34,Wisconsin,2007,640,688329
25-34,Wisconsin,2008,617,701692
25-34,Wisconsin,2009,585,713719
25-34,Wisconsin,2010,634,721694
25-34,Wisconsin,2011,681,731368
25-34,Wisconsin,2012,701,734473
25-34,Wisconsin,2013,749,732214
25-34,Wisconsin,2014,745,730422
25-34,Wisconsin,2015,836,726755
25-34,Wisconsin,2016,908,727719
25-34,Wisconsin,2017,976,731360
25-34,Wisconsin,2018,973,737377
25-34,Wyoming,1999,57,59027
25-34,Wyoming,2000,68,59854
25-34,Wyoming,2001,83,58619
25-34,Wyoming,2002,92,59508
25-34,Wyoming,2003,70,59623
25-34,Wyoming,2004,71,61035
25-34,Wyoming,2005,84,62644
25-34,Wyoming,2006,102,64854
25-34,Wyoming,2007,107,68450
25-34,Wyoming,2008,111,71440
25-34,Wyoming,2009,109,76214
25-34,Wyoming,2010,105,77649
25-34,Wyoming,2011,101,78996
25-34,Wyoming,2012,120,81099
25-34,Wyoming,2013,118,81827
25-34,Wyoming,2014,128,82625
25-34,Wyoming,2015,137,82842
25-34,Wyoming,2016,109,81948
25-34,Wyoming,2017,97,79514
25-34,Wyoming,2018,99,77778
35-44,Alabama,1999,1887,686932
35-44,Alabama,2000,1836,685512
35-44,Alabama,2001,1845,678003
35-44,Alabama,2002,1806,666137
35-44,Alabama,2003,1889,655351
35-44,Alabama,2004,1870,647811
35-44,Alabama,2005,1788,642755
35-44,Alabama,2006,1871,642706
35-44,Alabama,2007,1776,638956
35-44,Alabama,2008,1680,632634
35-44,Alabama,2009,1746,626649
35-44,Alabama,2010,1625,619501
35-44,Alabama,2011,1579,608252
35-44,Alabama,2012,1691,606667
35-44,Alabama,2013,1621,607139
35-44,Alabama,2014,1733,605590
35-44,Alabama,2015,1680,602496
35-44,Alabama,2016,1830,595713
35-44,Alabama,2017,1766,591795
35-44,Alabama,2018,1820,592302
35-44,Alaska,1999,228,116881
35-44,Alaska,2000,240,114049
35-44,Alaska,2001,255,111004
35-44,Alaska,2002,280,107776
35-44,Alaska,2003,218,104401
35-44,Alaska,2004,227,102617
35-44,Alaska,2005,227,100595
35-44,Alaska,2006,217,98682
35-44,Alaska,2007,221,96454
35-44,Alaska,2008,221,94295
35-44,Alaska,2009,199,92685
35-44,Alaska,2010,196,92974
35-44,Alaska,2011,201,91953
35-44,Alaska,2012,182,91993
35-44,Alaska,2013,192,90454
35-44,Alaska,2014,186,89980
35-44,Alaska,2015,194,90156
35-44,Alaska,2016,222,92145
35-44,Alaska,2017,209,93212
35-44,Alaska,2018,206,94650
35-44,Arizona,1999,1682,761436
35-44,Arizona,2000,1692,768804
35-44,Arizona,2001,1768,777891
35-44,Arizona,2002,1799,782077
35-44,Arizona,2003,1813,783198
35-44,Arizona,2004,1717,791660
35-44,Arizona,2005,1726,808093
35-44,Arizona,2006,1795,825809
35-44,Arizona,2007,1672,831523
35-44,Arizona,2008,1521,831711
35-44,Arizona,2009,1582,825788
35-44,Arizona,2010,1427,822494
35-44,Arizona,2011,1502,821696
35-44,Arizona,2012,1491,826174
35-44,Arizona,2013,1605,829775
35-44,Arizona,2014,1594,836593
35-44,Arizona,2015,1638,841613
35-44,Arizona,2016,1608,845220
35-44,Arizona,2017,1772,858680
35-44,Arizona,2018,1720,880431
35-44,Arkansas,1999,968,394882
35-44,Arkansas,2000,1012,398127
35-44,Arkansas,2001,1017,395032
35-44,Arkansas,2002,1054,389201
35-44,Arkansas,2003,1007,384753
35-44,Arkansas,2004,1002,382246
35-44,Arkansas,2005,1005,380572
35-44,Arkansas,2006,1050,381372
35-44,Arkansas,2007,1033,378802
35-44,Arkansas,2008,1019,374414
35-44,Arkansas,2009,995,369150
35-44,Arkansas,2010,904,366208
35-44,Arkansas,2011,888,363873
35-44,Arkansas,2012,910,363648
35-44,Arkansas,2013,918,364666
35-44,Arkansas,2014,981,364642
35-44,Arkansas,2015,999,365774
35-44,Arkansas,2016,1026,364726
35-44,Arkansas,2017,1012,366276
35-44,Arkansas,2018,983,368518
35-44,California,1999,9227,5462186
35-44,California,2000,9289,5485341
35-44,California,2001,9350,5516317
35-44,California,2002,9316,5500299
35-44,California,2003,9426,5485873
35-44,California,2004,8883,5474192
35-44,California,2005,8886,5448579
35-44,California,2006,8473,5408745
35-44,California,2007,8053,5338861
35-44,California,2008,7426,5278905
35-44,California,2009,7437,5214338
35-44,California,2010,6751,5182710
35-44,California,2011,6774,5163971
35-44,California,2012,6630,5161434
35-44,California,2013,6750,5149410
35-44,California,2014,6709,5175338
35-44,California,2015,6982,5187676
35-44,California,2016,7032,5159932
35-44,California,2017,7151,5223062
35-44,California,2018,7413,5255671
35-44,Colorado,1999,1270,738963
35-44,Colorado,2000,1279,736823
35-44,Colorado,2001,1362,737975
35-44,Colorado,2002,1308,728103
35-44,Colorado,2003,1321,714819
35-44,Colorado,2004,1197,708153
35-44,Colorado,2005,1166,705346
35-44,Colorado,2006,1133,707037
35-44,Colorado,2007,1157,706414
35-44,Colorado,2008,1120,703610
35-44,Colorado,2009,1151,700394
35-44,Colorado,2010,1028,699644
35-44,Colorado,2011,1087,701115
35-44,Colorado,2012,1092,707346
35-44,Colorado,2013,1042,714791
35-44,Colorado,2014,1176,722553
35-44,Colorado,2015,1103,733546
35-44,Colorado,2016,1253,742076
35-44,Colorado,2017,1222,759774
35-44,Colorado,2018,1330,780079
35-44,Connecticut,1999,911,579519
35-44,Connecticut,2000,1005,581049
35-44,Connecticut,2001,1040,580185
35-44,Connecticut,2002,1018,574699
35-44,Connecticut,2003,951,567819
35-44,Connecticut,2004,905,558950
35-44,Connecticut,2005,858,550666
35-44,Connecticut,2006,779,540940
35-44,Connecticut,2007,717,527773
35-44,Connecticut,2008,692,514364
35-44,Connecticut,2009,697,496521
35-44,Connecticut,2010,689,484438
35-44,Connecticut,2011,618,468809
35-44,Connecticut,2012,622,458449
35-44,Connecticut,2013,608,447598
35-44,Connecticut,2014,614,439446
35-44,Connecticut,2015,624,431323
35-44,Connecticut,2016,674,423005
35-44,Connecticut,2017,736,422731
35-44,Connecticut,2018,757,423336
35-44,Delaware,1999,299,126830
35-44,Delaware,2000,318,127601
35-44,Delaware,2001,305,127885
35-44,Delaware,2002,289,127418
35-44,Delaware,2003,271,126495
35-44,Delaware,2004,273,125591
35-44,Delaware,2005,256,125175
35-44,Delaware,2006,307,124643
35-44,Delaware,2007,288,123116
35-44,Delaware,2008,248,120977
35-44,Delaware,2009,230,117947
35-44,Delaware,2010,237,116087
35-44,Delaware,2011,220,113498
35-44,Delaware,2012,219,111481
35-44,Delaware,2013,211,110729
35-44,Delaware,2014,217,110441
35-44,Delaware,2015,230,110596
35-44,Delaware,2016,227,109425
35-44,Delaware,2017,250,110316
35-44,Delaware,2018,291,111468
35-44,District of Columbia,1999,387,88156
35-44,District of Columbia,2000,398,87677
35-44,District of Columbia,2001,404,87831
35-44,District of Columbia,2002,372,86487
35-44,District of Columbia,2003,367,84710
35-44,District of Columbia,2004,312,83248
35-44,District of Columbia,2005,289,82848
35-44,District of Columbia,2006,305,82716
35-44,District of Columbia,2007,253,82255
35-44,District of Columbia,2008,253,80806
35-44,District of Columbia,2009,216,80868
35-44,District of Columbia,2010,174,80659
35-44,District of Columbia,2011,157,82444
35-44,District of Columbia,2012,165,85312
35-44,District of Columbia,2013,149,89884
35-44,District of Columbia,2014,171,92726
35-44,District of Columbia,2015,151,95949
35-44,District of Columbia,2016,181,98889
35-44,District of Columbia,2017,200,102038
35-44,District of Columbia,2018,199,105674
35-44,Florida,1999,5702,2456475
35-44,Florida,2000,5847,2485247
35-44,Florida,2001,5873,2520030
35-44,Florida,2002,5993,2532121
35-44,Florida,2003,5883,2533634
35-44,Florida,2004,5818,2551515
35-44,Florida,2005,5803,2574632
35-44,Florida,2006,5613,2582966
35-44,Florida,2007,5289,2557593
35-44,Florida,2008,5166,2513608
35-44,Florida,2009,4925,2460117
35-44,Florida,2010,4494,2431254
35-44,Florida,2011,4329,2404541
35-44,Florida,2012,4275,2403067
35-44,Florida,2013,4207,2401477
35-44,Florida,2014,4331,2421949
35-44,Florida,2015,4555,2448471
35-44,Florida,2016,5177,2464289
35-44,Florida,2017,5197,2517851
35-44,Florida,2018,5357,2568764
35-44,Georgia,1999,3054,1335448
35-44,Georgia,2000,3109,1353508
35-44,Georgia,2001,3254,1372155
35-44,Georgia,2002,3268,1375795
35-44,Georgia,2003,3256,1375088
35-44,Georgia,2004,3099,1380057
35-44,Georgia,2005,3053,1392620
35-44,Georgia,2006,3013,1415289
35-44,Georgia,2007,2994,1426980
35-44,Georgia,2008,2754,1428057
35-44,Georgia,2009,2779,1411873
35-44,Georgia,2010,2618,1397540
35-44,Georgia,2011,2548,1383053
35-44,Georgia,2012,2456,1378173
35-44,Georgia,2013,2561,1372415
35-44,Georgia,2014,2576,1369784
35-44,Georgia,2015,2625,1370719
35-44,Georgia,2016,2810,1362970
35-44,Georgia,2017,2748,1367466
35-44,Georgia,2018,2875,1372602
35-44,Hawaii,1999,316,193008
35-44,Hawaii,2000,320,191177
35-44,Hawaii,2001,305,188711
35-44,Hawaii,2002,290,185905
35-44,Hawaii,2003,280,183007
35-44,Hawaii,2004,307,182426
35-44,Hawaii,2005,305,182205
35-44,Hawaii,2006,298,182256
35-44,Hawaii,2007,280,180064
35-44,Hawaii,2008,278,178527
35-44,Hawaii,2009,286,176853
35-44,Hawaii,2010,287,176373
35-44,Hawaii,2011,268,174037
35-44,Hawaii,2012,296,174744
35-44,Hawaii,2013,255,174755
35-44,Hawaii,2014,244,175652
35-44,Hawaii,2015,234,176715
35-44,Hawaii,2016,276,177228
35-44,Hawaii,2017,323,179402
35-44,Hawaii,2018,263,180510
35-44,Idaho,1999,308,193496
35-44,Idaho,2000,300,192968
35-44,Idaho,2001,326,192254
35-44,Idaho,2002,333,190029
35-44,Idaho,2003,335,188349
35-44,Idaho,2004,320,188780
35-44,Idaho,2005,314,189516
35-44,Idaho,2006,335,191988
35-44,Idaho,2007,305,192914
35-44,Idaho,2008,315,192756
35-44,Idaho,2009,334,191945
35-44,Idaho,2010,320,191609
35-44,Idaho,2011,321,191879
35-44,Idaho,2012,309,193924
35-44,Idaho,2013,321,196801
35-44,Idaho,2014,346,199791
35-44,Idaho,2015,371,202632
35-44,Idaho,2016,356,205995
35-44,Idaho,2017,364,212618
35-44,Idaho,2018,372,220029
35-44,Illinois,1999,3914,1987201
35-44,Illinois,2000,3868,1983870
35-44,Illinois,2001,3774,1967715
35-44,Illinois,2002,3762,1941460
35-44,Illinois,2003,3569,1911052
35-44,Illinois,2004,3483,1882409
35-44,Illinois,2005,3334,1856865
35-44,Illinois,2006,3194,1834591
35-44,Illinois,2007,3037,1809651
35-44,Illinois,2008,2935,1779962
35-44,Illinois,2009,2841,1746776
35-44,Illinois,2010,2586,1725890
35-44,Illinois,2011,2643,1703981
35-44,Illinois,2012,2542,1693816
35-44,Illinois,2013,2471,1685410
35-44,Illinois,2014,2518,1679806
35-44,Illinois,2015,2616,1669816
35-44,Illinois,2016,2836,1646756
35-44,Illinois,2017,2803,1639168
35-44,Illinois,2018,2937,1639725
35-44,Indiana,1999,1774,962267
35-44,Indiana,2000,1845,960703
35-44,Indiana,2001,1917,951600
35-44,Indiana,2002,1882,937877
35-44,Indiana,2003,1882,922229
35-44,Indiana,2004,1805,910180
35-44,Indiana,2005,1755,900169
35-44,Indiana,2006,1861,893275
35-44,Indiana,2007,1716,883042
35-44,Indiana,2008,1723,869437
35-44,Indiana,2009,1737,851373
35-44,Indiana,2010,1525,840830
35-44,Indiana,2011,1684,830262
35-44,Indiana,2012,1601,825294
35-44,Indiana,2013,1623,826456
35-44,Indiana,2014,1741,824681
35-44,Indiana,2015,1739,823056
35-44,Indiana,2016,1858,814899
35-44,Indiana,2017,2025,816778
35-44,Indiana,2018,1955,822202
35-44,Iowa,1999,660,448486
35-44,Iowa,2000,660,445199
35-44,Iowa,2001,693,436822
35-44,Iowa,2002,636,427032
35-44,Iowa,2003,652,416982
35-44,Iowa,2004,577,410225
35-44,Iowa,2005,603,402318
35-44,Iowa,2006,621,395815
35-44,Iowa,2007,604,387253
35-44,Iowa,2008,624,377667
35-44,Iowa,2009,598,368264
35-44,Iowa,2010,563,364548
35-44,Iowa,2011,571,360215
35-44,Iowa,2012,568,359269
35-44,Iowa,2013,568,361649
35-44,Iowa,2014,515,363219
35-44,Iowa,2015,558,366396
35-44,Iowa,2016,628,367535
35-44,Iowa,2017,606,373088
35-44,Iowa,2018,589,379935
35-44,Kansas,1999,708,423950
35-44,Kansas,2000,732,420351
35-44,Kansas,2001,752,412400
35-44,Kansas,2002,815,402085
35-44,Kansas,2003,737,391506
35-44,Kansas,2004,695,383865
35-44,Kansas,2005,706,377045
35-44,Kansas,2006,682,370570
35-44,Kansas,2007,636,363340
35-44,Kansas,2008,601,356322
35-44,Kansas,2009,590,349360
35-44,Kansas,2010,571,346673
35-44,Kansas,2011,613,343294
35-44,Kansas,2012,615,343038
35-44,Kansas,2013,578,343815
35-44,Kansas,2014,566,344667
35-44,Kansas,2015,629,346113
35-44,Kansas,2016,618,347089
35-44,Kansas,2017,667,351767
35-44,Kansas,2018,675,356322
35-44,Kentucky,1999,1378,641288
35-44,Kentucky,2000,1449,642665
35-44,Kentucky,2001,1526,637343
35-44,Kentucky,2002,1552,629240
35-44,Kentucky,2003,1576,620237
35-44,Kentucky,2004,1515,615348
35-44,Kentucky,2005,1539,609360
35-44,Kentucky,2006,1517,607472
35-44,Kentucky,2007,1520,602631
35-44,Kentucky,2008,1440,594012
35-44,Kentucky,2009,1487,583402
35-44,Kentucky,2010,1418,576662
35-44,Kentucky,2011,1471,570028
35-44,Kentucky,2012,1484,566136
35-44,Kentucky,2013,1393,564798
35-44,Kentucky,2014,1537,561197
35-44,Kentucky,2015,1532,559036
35-44,Kentucky,2016,1761,553030
35-44,Kentucky,2017,1748,550240
35-44,Kentucky,2018,1635,551949
35-44,Louisiana,1999,1922,696307
35-44,Louisiana,2000,1886,691966
35-44,Louisiana,2001,1943,681491
35-44,Louisiana,2002,1935,669458
35-44,Louisiana,2003,1975,658016
35-44,Louisiana,2004,1892,649403
35-44,Louisiana,2005,1938,638415
35-44,Louisiana,2006,1722,591780
35-44,Louisiana,2007,1730,586382
35-44,Louisiana,2008,1575,576983
35-44,Louisiana,2009,1505,568146
35-44,Louisiana,2010,1482,564599
35-44,Louisiana,2011,1385,559499
35-44,Louisiana,2012,1436,559506
35-44,Louisiana,2013,1481,562555
35-44,Louisiana,2014,1436,565948
35-44,Louisiana,2015,1517,570811
35-44,Louisiana,2016,1562,574245
35-44,Louisiana,2017,1668,578448
35-44,Louisiana,2018,1651,583526
35-44,Maine,1999,309,213530
35-44,Maine,2000,317,212980
35-44,Maine,2001,323,211244
35-44,Maine,2002,355,208639
35-44,Maine,2003,332,205374
35-44,Maine,2004,338,201481
35-44,Maine,2005,314,197856
35-44,Maine,2006,312,193925
35-44,Maine,2007,268,188773
35-44,Maine,2008,301,183010
35-44,Maine,2009,276,176367
35-44,Maine,2010,255,171376
35-44,Maine,2011,295,165649
35-44,Maine,2012,248,161566
35-44,Maine,2013,278,158124
35-44,Maine,2014,258,155439
35-44,Maine,2015,281,152750
35-44,Maine,2016,322,150767
35-44,Maine,2017,320,151334
35-44,Maine,2018,324,152383
35-44,Maryland,1999,2103,911449
35-44,Maryland,2000,2055,916156
35-44,Maryland,2001,2101,918724
35-44,Maryland,2002,2076,914728
35-44,Maryland,2003,2029,906187
35-44,Maryland,2004,1918,895972
35-44,Maryland,2005,1795,885849
35-44,Maryland,2006,1801,872859
35-44,Maryland,2007,1775,854604
35-44,Maryland,2008,1522,833570
35-44,Maryland,2009,1455,808015
35-44,Maryland,2010,1279,795572
35-44,Maryland,2011,1230,780253
35-44,Maryland,2012,1249,775155
35-44,Maryland,2013,1212,770000
35-44,Maryland,2014,1291,769047
35-44,Maryland,2015,1292,767825
35-44,Maryland,2016,1496,761384
35-44,Maryland,2017,1522,769410
35-44,Maryland,2018,1615,773801
35-44,Massachusetts,1999,1698,1057230
35-44,Massachusetts,2000,1754,1062995
35-44,Massachusetts,2001,1819,1060439
35-44,Massachusetts,2002,1768,1050405
35-44,Massachusetts,2003,1781,1034260
35-44,Massachusetts,2004,1612,1014216
35-44,Massachusetts,2005,1515,996647
35-44,Massachusetts,2006,1370,977387
35-44,Massachusetts,2007,1420,954995
35-44,Massachusetts,2008,1311,931468
35-44,Massachusetts,2009,1324,904913
35-44,Massachusetts,2010,1170,887149
35-44,Massachusetts,2011,1183,865534
35-44,Massachusetts,2012,1176,854097
35-44,Massachusetts,2013,1209,842825
35-44,Massachusetts,2014,1235,837732
35-44,Massachusetts,2015,1326,834093
